Date,Close
1/2/2018 16:00:00,90.65
1/3/2018 16:00:00,90.54
1/4/2018 16:00:00,91.18
1/5/2018 16:00:00,91.24
1/8/2018 16:00:00,91.72
1/9/2018 16:00:00,91.05
1/10/2018 16:00:00,90.47
1/11/2018 16:00:00,90.15
1/12/2018 16:00:00,89.61
1/16/2018 16:00:00,90.22
1/17/2018 16:00:00,91.2
1/18/2018 16:00:00,90.18
1/19/2018 16:00:00,91.07
1/22/2018 16:00:00,91.89
1/23/2018 16:00:00,89.05
1/24/2018 16:00:00,88.31
1/25/2018 16:00:00,88.34
1/26/2018 16:00:00,87.73
1/29/2018 16:00:00,86.86
1/30/2018 16:00:00,86.95
1/31/2018 16:00:00,86.34
2/1/2018 16:00:00,85.85
2/2/2018 16:00:00,84.25
2/5/2018 16:00:00,81.06
2/6/2018 16:00:00,82.38
2/7/2018 16:00:00,81.84
2/8/2018 16:00:00,80.22
2/9/2018 16:00:00,79.92
2/12/2018 16:00:00,81.33
2/13/2018 16:00:00,81.5
2/14/2018 16:00:00,80.68
2/15/2018 16:00:00,82.41
2/16/2018 16:00:00,82.6
2/20/2018 16:00:00,81.34
2/21/2018 16:00:00,80.24
2/22/2018 16:00:00,80.84
2/23/2018 16:00:00,81.05
2/26/2018 16:00:00,81.63
2/27/2018 16:00:00,80.54
2/28/2018 16:00:00,78.52
3/1/2018 16:00:00,78.7
3/2/2018 16:00:00,79.5
3/5/2018 16:00:00,80.29
3/6/2018 16:00:00,80.02
3/7/2018 16:00:00,79.16
3/8/2018 16:00:00,79.97
3/9/2018 16:00:00,80.29
3/12/2018 16:00:00,79.86
3/13/2018 16:00:00,79.72
3/14/2018 16:00:00,79
3/15/2018 16:00:00,78.67
3/16/2018 16:00:00,78.97
3/19/2018 16:00:00,78.66
3/20/2018 16:00:00,78.31
3/21/2018 16:00:00,77.04
3/22/2018 16:00:00,76.41
3/23/2018 16:00:00,75.91
3/26/2018 16:00:00,76.41
3/27/2018 16:00:00,77.79
3/28/2018 16:00:00,78.84
3/29/2018 16:00:00,79.28
4/2/2018 16:00:00,77.4
4/3/2018 16:00:00,78.46
4/4/2018 16:00:00,79.05
4/5/2018 16:00:00,78.8
4/6/2018 16:00:00,78.43
4/9/2018 16:00:00,78.16
4/10/2018 16:00:00,78.37
4/11/2018 16:00:00,78.27
4/12/2018 16:00:00,77.79
4/13/2018 16:00:00,78.37
4/16/2018 16:00:00,78.61
4/17/2018 16:00:00,78.43
4/18/2018 16:00:00,78.2
4/19/2018 16:00:00,74.95
4/20/2018 16:00:00,73.8
4/23/2018 16:00:00,73
4/24/2018 16:00:00,72.5
4/25/2018 16:00:00,72.3
4/26/2018 16:00:00,72.75
