Date,Close
1/2/2018 16:00:00,10.55
1/3/2018 16:00:00,10.78
1/4/2018 16:00:00,11
1/5/2018 16:00:00,11.06
1/8/2018 16:00:00,11.24
1/9/2018 16:00:00,11.07
1/10/2018 16:00:00,11.1
1/11/2018 16:00:00,11.11
1/12/2018 16:00:00,11.28
1/16/2018 16:00:00,11.19
1/17/2018 16:00:00,11.49
1/18/2018 16:00:00,11.48
1/19/2018 16:00:00,11.55
1/22/2018 16:00:00,11.94
1/23/2018 16:00:00,11.87
1/24/2018 16:00:00,11.97
1/25/2018 16:00:00,12.49
1/26/2018 16:00:00,12.91
1/29/2018 16:00:00,12.73
1/30/2018 16:00:00,12.42
1/31/2018 16:00:00,12.79
2/1/2018 16:00:00,12.63
2/2/2018 16:00:00,12.51
2/5/2018 16:00:00,11.83
2/6/2018 16:00:00,12.21
2/7/2018 16:00:00,12.33
2/8/2018 16:00:00,11.85
2/9/2018 16:00:00,11.96
2/12/2018 16:00:00,12.79
2/13/2018 16:00:00,12.61
2/14/2018 16:00:00,13.76
2/15/2018 16:00:00,13.8
2/16/2018 16:00:00,13.75
2/20/2018 16:00:00,14.28
2/21/2018 16:00:00,13.29
2/22/2018 16:00:00,13.42
2/23/2018 16:00:00,13.7
2/26/2018 16:00:00,13.63
2/27/2018 16:00:00,13.77
2/28/2018 16:00:00,13.82
3/1/2018 16:00:00,13.69
3/2/2018 16:00:00,13.68
3/5/2018 16:00:00,13.93
3/6/2018 16:00:00,14.15
3/7/2018 16:00:00,14.37
3/8/2018 16:00:00,14.74
3/9/2018 16:00:00,14.92
3/12/2018 16:00:00,14.82
3/13/2018 16:00:00,14.53
3/14/2018 16:00:00,14.63
3/15/2018 16:00:00,14.74
3/16/2018 16:00:00,14.72
3/19/2018 16:00:00,14.56
3/20/2018 16:00:00,15.31
3/21/2018 16:00:00,14.94
3/22/2018 16:00:00,14.55
3/23/2018 16:00:00,14.17
3/26/2018 16:00:00,13.67
3/27/2018 16:00:00,12.88
3/28/2018 16:00:00,12.16
3/29/2018 16:00:00,12.46
4/2/2018 16:00:00,12.21
4/3/2018 16:00:00,11.94
4/4/2018 16:00:00,12.07
4/5/2018 16:00:00,12.01
4/6/2018 16:00:00,11.74
4/9/2018 16:00:00,11.9
4/10/2018 16:00:00,12.29
4/11/2018 16:00:00,11.95
4/12/2018 16:00:00,12.08
4/13/2018 16:00:00,11.75
4/16/2018 16:00:00,11.69
4/17/2018 16:00:00,12.6
4/18/2018 16:00:00,12.76
4/19/2018 16:00:00,12.67
4/20/2018 16:00:00,12.68
4/23/2018 16:00:00,12.29
4/24/2018 16:00:00,12.31
4/25/2018 16:00:00,12
4/26/2018 16:00:00,12.42
4/27/2018 16:00:00,12.66
4/30/2018 16:00:00,13.36
5/1/2018 16:00:00,12.77
5/2/2018 16:00:00,12.48
5/3/2018 16:00:00,13.52
5/4/2018 16:00:00,13.61
5/7/2018 16:00:00,13.86
5/8/2018 16:00:00,14.33
5/9/2018 16:00:00,14.61
5/10/2018 16:00:00,14.62
5/11/2018 16:00:00,14.45
5/14/2018 16:00:00,14.26
5/15/2018 16:00:00,14.25
5/16/2018 16:00:00,14.23
5/17/2018 16:00:00,14.61
5/18/2018 16:00:00,14.71
